nohup: ignoring input
Data loaded | train: 200 | val: 40 | split: splitdefault
Trials complétés : 0 / 40 — restants : 40
Epoch 83/300 | train: 0.001070 | val: 0.000752 | lr: 3.57e-06 (no improvement for 29 epochs)
Epoch 84/300 | train: 0.001074 | val: 0.000703 | lr: 3.57e-06 (no improvement for 30 epochs)
Epoch 85/300 | train: 0.001065 | val: 0.000760 | lr: 3.57e-06 (no improvement for 31 epochs)
Epoch 86/300 | train: 0.001062 | val: 0.000781 | lr: 1.78e-06 (no improvement for 32 epochs)
Epoch 87/300 | train: 0.001054 | val: 0.000750 | lr: 1.78e-06 (no improvement for 33 epochs)
Epoch 88/300 | train: 0.001049 | val: 0.000742 | lr: 1.78e-06 (no improvement for 34 epochs)
Epoch 89/300 | train: 0.001044 | val: 0.000744 | lr: 1.78e-06 (no improvement for 35 epochs)
Epoch 90/300 | train: 0.001047 | val: 0.000754 | lr: 1.78e-06 (no improvement for 36 epochs)
Epoch 91/300 | train: 0.001043 | val: 0.000756 | lr: 1.78e-06 (no improvement for 37 epochs)

Early stopping at epoch 91. Best epoch: 54 (val loss: 0.000693).
Trial   1 | val_loss=0.000693 | epoch=  54 | lr=2.86e-05 | weight_decay=1.02e-04 | dropout_rate=1.49e-02 | noise_std=1.19e-03 | patience=37
Best trial: 0. Best value: 0.000621232:   2%|▎         | 1/40 [58:25<22:28:51, 2075.17s/it]Best trial: 0. Best value: 0.000621232:   5%|▌         | 2/40 [58:25<17:54:01, 1695.84s/it]Training AE3dFCDeep | device=cuda | batch_size=1 | patience=66 | max_epochs=300
Epoch 1/300 | train: 0.255936 | val: 0.228210 | lr: 1.14e-05 ✓ best
Epoch 2/300 | train: 0.211705 | val: 0.194729 | lr: 1.14e-05 ✓ best
Epoch 3/300 | train: 0.166833 | val: 0.144226 | lr: 1.14e-05 ✓ best
Epoch 4/300 | train: 0.125182 | val: 0.112183 | lr: 1.14e-05 ✓ best
Epoch 5/300 | train: 0.101090 | val: 0.092963 | lr: 1.14e-05 ✓ best
Epoch 6/300 | train: 0.085274 | val: 0.079102 | lr: 1.14e-05 ✓ best
